"user_id","book_id"
"248","65"
"247","7290"
"247","2107"
"256","1514"
"256","408"
"319","916"
"319","1999"
"209","11"
"439","249"
"439","121"
"248","9025"
"143","7"
"143","9070"
"143","2603"
"143","122"
"513","2192"
"513","8802"
"513","2098"
"513","1255"
"513","92"
"513","233"
"513","354"
"513","15"
"513","969"
"513","690"
"589","249"
"513","2975"
"513","1411"
"624","495"
"663","94"
"663","495"
"446","270"
"725","895"
"697","67"
"697","40"
"697","9632"
"697","249"
"697","653"
"663","101"
"589","1977"
"589","2440"
"929","101"
"961","60"
"961","6770"
"816","213"
"816","2621"
"816","736"
"816","733"
"816","255"
"997","5216"
"1038","2465"
"1038","2284"
"1038","1928"
"143","162"
"1061","103"
"1061","2499"
"1061","255"
"1061","113"
"7","10"
"7","233"
"7","4468"
"1175","345"
"816","82"
"1173","2284"
"1173","3588"
"1019","43"
"1325","11"
"1325","94"
"1321","3837"
"1321","287"
"1350","516"
"1350","57"
"1286","36"
"1354","3142"
"1354","366"
"1456","92"
"1456","895"
"1456","690"
"1403","1797"
"1403","94"
"1403","2284"
"1449","5926"
"1403","1083"
"1403","710"
"1504","1622"
"1504","620"
"1504","5349"
"1464","67"
"1560","92"
"1560","398"
"1560","211"
"1560","181"
"1560","1269"
"1560","2498"
"1560","2727"
"1560","180"
"1038","4614"
"1571","3187"
"1504","249"
"215","4755"
"1682","2958"
"1710","916"
"1403","1441"
"1403","122"
"1403","1068"
"1353","516"
"1734","113"
"1734","6944"
"1734","2309"
"1350","239"
"1037","181"
"1761","736"
"1657","3002"
"1657","1739"
"1657","179"
"1657","485"
"89","3069"
"1403","374"
"1350","474"
"1350","2691"
"1824","1873"
"1885","3960"
"1866","461"
"1866","2950"
"1824","688"
"1935","550"
"1935","287"
"1935","35"
"1935","238"
"215","7734"
"1570","1236"
"1307","2524"
"1935","5"
"1935","8"
"1935","65"
"1935","516"
"1935","690"
"1504","4079"
"1504","2498"
"1504","2231"
"2036","60"
"2036","495"
"2036","92"
"1866","4189"
"2036","659"
"2036","550"
"2125","493"
"1283","1083"
"1283","961"
"1734","474"
"2276","3625"
"2276","8165"
"2283","476"
"2283","55"
"2283","2939"
"2036","67"
"2036","127"
"2036","35"
"2036","22"
"2112","2465"
"1761","520"
"1927","83"
"1927","478"
"1927","298"
"1927","43"
"1927","5332"
"2329","916"
"2036","115"
"2220","736"
"1927","11"
"2182","3256"
"2384","122"
"2384","46"
"2384","9503"
"2384","225"
"1927","115"
"2366","53"
"215","1294"
"1772","690"
"2384","119"
"2477","368"
"2501","127"
"1173","1853"
"1173","81"
"1173","3963"
"1173","6588"
"1173","87"
"1173","119"
"1173","784"
"1173","867"
"1173","895"
"1173","516"
"1173","249"
"1173","287"
"1173","225"
"1713","1055"
"1713","1021"
"1321","3581"
"2337","747"
"2337","161"
"2337","230"
"2337","6853"
"2337","36"
"2337","1163"
"2337","873"
"2337","50"
"2337","410"
"2337","4759"
"1866","2897"
"2329","550"
"1824","3588"
"2687","1657"
"2687","397"
"2687","5616"
"2687","1380"
"2687","3792"
"362","323"
"2337","1234"
"2769","368"
"2619","3964"
"2837","1238"
"2276","3360"
"2888","2314"
"1824","2284"
"2888","4513"
"2384","150"
"2384","236"
"2384","82"
"2384","11"
"2384","38"
"2337","221"
"2888","233"
"2888","2517"
"2888","483"
"2889","2914"
"2889","8931"
"2981","2192"
"2981","4317"
"2981","9021"
"2998","6828"
"1374","1999"
"2889","3456"
"2889","3550"
"2197","546"
"3028","2"
"3028","23"
"3028","25"
"3028","27"
"3028","24"
"3028","18"
"3028","21"
"3087","101"
"3087","344"
"3094","64"
"3094","40"
"3087","2415"
"3087","1465"
"3087","5349"
"3087","2559"
"1968","718"
"1968","2259"
"1968","360"
"3103","3021"
"1403","1318"
"1353","7095"
"3094","11"
"3094","908"
"3094","328"
"1866","233"
"3080","3609"
"3080","1142"
"1294","67"
"3265","1156"
"997","7986"
"3265","887"
"3265","4633"
"3164","1949"
"3164","1785"
"3164","782"
"2103","6440"
"3164","472"
"3164","353"
"3164","8440"
"907","7952"
"1307","496"
"3465","1021"
"3465","57"
"3519","1083"
"338","1595"
"338","1928"
"476","591"
"3569","10"
"3243","1969"
"3161","5119"
"3094","46"
"3465","1843"
"3565","896"
"3094","62"
"2112","47"
"3853","13"
"3857","35"
"3857","109"
"3857","131"
"3857","83"
"3857","361"
"3857","485"
"3857","274"
"3857","297"
"3857","2506"
"3853","2284"
"3857","1597"
"3565","186"
"2477","46"
"3908","40"
"3908","1675"
"1560","3207"
"1560","1392"
"3222","4202"
"1600","1570"
"1600","6944"
"1600","322"
"1600","1088"
"1600","212"
"1600","815"
"1600","1392"
"314","11"
"314","495"
"314","476"
"3212","468"
"4000","7311"
"3077","132"
"3077","60"
"3077","1156"
"3077","570"
"3077","849"
"3164","5907"
"446","52"
"446","205"
"446","696"
"446","898"
"446","815"
"215","1514"
"1713","1873"
"1713","682"
"4147","65"
"4147","173"
"4147","284"
"4147","1739"
"4147","323"
"4000","67"
"2687","2374"
"2687","11"
"4027","1041"
"4027","485"
"1677","916"
"4276","81"
"1173","104"
"4273","100"
"1800","5925"
"1800","46"
"1800","64"
"1800","908"
"1800","2883"
"1800","35"
"1800","969"
"1800","1171"
"1800","212"
"1800","1214"
"1800","2921"
"1800","3808"
"1800","7641"
"1800","395"
"1800","317"
"1800","1041"
"1800","1783"
"1800","961"
"1800","2355"
"1800","498"
"1800","1167"
"256","122"
"1761","5150"
"2563","875"
"2563","1927"
"2563","256"
"2563","1515"
"4000","663"
"4366","115"
"2483","43"
"2117","647"
"2117","113"
"2117","687"
"2117","366"
"2117","1333"
"2117","35"
"2117","8457"
"2117","127"
"2117","115"
"2117","122"
"2117","119"
"4399","1571"
"3856","2914"
"4399","725"
"256","1567"
"256","115"
"248","6808"
"248","782"
"2563","5845"
"2117","362"
"589","4942"
"4521","212"
"2063","181"
"2063","8838"
"4521","2607"
"2837","1839"
"3788","662"
"3788","5155"
"4490","255"
"3502","18"
"3502","24"
"4314","701"
"4314","1282"
"4314","1999"
"4273","378"
"4273","2980"
"4273","1452"
"4273","2577"
"4273","779"
"2320","784"
"4210","211"
"4210","87"
"4210","1175"
"4210","969"
"4210","92"
"4210","3692"
"4210","6615"
"4714","383"
"4399","5306"
"244","1121"
"4791","719"
"4791","40"
"4791","142"
"4791","1929"
"2854","4983"
"2854","304"
"4691","1749"
"4840","733"
"1935","82"
"4691","495"
"4714","1392"
"4736","1320"
"3856","854"
"2854","741"
"624","417"
"3943","4686"
"2220","2044"
"4840","65"
"2854","6600"
"4975","113"
"1081","3456"
"5023","951"
"5023","1236"
"5023","1500"
"5023","1915"
"5023","380"
"3565","867"
"1600","6932"
"3094","9038"
"1431","2136"
"2000","468"
"4972","119"
"4027","3985"
"4975","2479"
"4606","508"
"4606","1645"
"5054","426"
"895","1314"
"4972","867"
"4490","4810"
"5054","54"
"4671","1515"
"5125","687"
"4929","2107"
"1935","495"
"3788","64"
"1824","1487"
"4909","186"
"5342","205"
"5342","492"
"5342","239"
"2345","408"
"2345","815"
"4791","212"
"4791","186"
"5136","256"
"5136","1011"
"5136","47"
"5136","1644"
"4088","1487"
"4088","273"
"3243","398"
"4088","60"
"5136","719"
"859","7127"
"859","7986"
"859","8592"
"859","682"
"859","8988"
"5422","4632"
"5422","3387"
"5422","6190"
"5422","5907"
"5422","4004"
"5422","173"
"2337","11"
"4027","1224"
"2837","1159"
"1221","429"
"5447","49"
"5447","52"
"5303","838"
"5036","35"
"3284","1005"
"3284","40"
"4990","60"
"4990","101"
"3215","2363"
"4929","7615"
"4975","815"
"5054","11"
"5054","186"
"3856","574"
"5494","2917"
"4990","495"
"5136","174"
"5569","113"
"4975","1099"
"2220","6154"
"5303","71"
"4274","40"
"3236","3080"
"3236","1734"
"5610","104"
"5610","212"
"5610","82"
"5610","233"
"5610","1873"
"5610","100"
"5610","366"
"2889","1978"
"2889","2055"
"4975","205"
"5610","5527"
"3236","378"
"5118","3229"
"5118","733"
"5118","1159"
"5118","75"
"5118","7868"
"5118","710"
"5118","8781"
"5118","2374"
"5118","3692"
"5118","119"
"5118","757"
"5118","1843"
"5118","8128"
"5118","882"
"5118","5604"
"4671","3007"
"5624","3311"
"997","2107"
"2384","186"
"1221","3044"
"5054","1713"
"5054","35"
"5054","70"
"4274","6870"
"5624","2190"
"5624","436"
"5624","129"
"5624","1714"
"491","4103"
"2467","828"
"2467","2451"
"2467","1698"
"2467","3960"
"2467","1060"
"2467","2357"
"5303","3772"
"4846","46"
"4846","3856"
"4846","1389"
"4846","1444"
"5610","3171"
